noise,pollution,date,light,raining,street_id
9.5056,10.9961,2030-01-01T00:00:35.000Z,65.3011,30.5352,36
8.4628,4.236,2030-01-01T00:00:36.000Z,70.7859,25.5476,1
4.023,6.2343,2030-01-01T00:00:37.000Z,79.903,22.7457,2
8.762,10.3515,2030-01-01T00:00:38.000Z,62.4201,7.8644,3
6.7617,11.7662,2030-01-01T00:00:39.000Z,64.6023,7.7076,4
1.4199,12.6221,2030-01-01T00:00:40.000Z,64.5788,31.6897,5
17.1927,1.4171,2030-01-01T00:00:41.000Z,64.7601,23.4142,6
4.2847,2.6462,2030-01-01T00:00:42.000Z,78.7103,19.9865,7
9.4534,15.6924,2030-01-01T00:00:43.000Z,76.1499,6.6643,8
1.9386,8.621,2030-01-01T00:00:44.000Z,68.4716,16.3459,9
14.5815,13.4673,2030-01-01T00:00:45.000Z,79.6833,3.4446,10
8.0524,6.7861,2030-01-01T00:00:46.000Z,77.2335,8.703,11
3.8042,8.9723,2030-01-01T00:00:47.000Z,68.4376,9.7491,12
4.9961,18.4653,2030-01-01T00:00:48.000Z,68.8626,30.1472,13
11.0065,1.0118,2030-01-01T00:00:49.000Z,79.9856,29.261,14
19.3799,18.5273,2030-01-01T00:00:50.000Z,76.9739,5.8209,15
9.7128,4.2749,2030-01-01T00:00:51.000Z,68.0208,2.0522,16
7.5795,19.7062,2030-01-01T00:00:52.000Z,65.3041,27.4425,17
9.1002,8.4601,2030-01-01T00:00:53.000Z,79.1464,34.8398,18
11.1154,14.3682,2030-01-01T00:00:54.000Z,63.0959,10.3848,19
19.3742,11.5836,2030-01-01T00:00:55.000Z,70.8439,26.1791,20
1.1433,11.6836,2030-01-01T00:00:56.000Z,70.057,29.8452,21
3.1487,19.2156,2030-01-01T00:00:57.000Z,61.6022,6.5039,22
11.9007,13.5043,2030-01-01T00:00:58.000Z,64.7041,4.196,23
17.8057,4.9243,2030-01-01T00:00:59.000Z,71.8904,21.6784,24
8.3845,11.6734,2030-01-01T00:01:00.000Z,70.4557,32.7147,25
4.0852,14.3238,2030-01-01T00:01:01.000Z,64.7737,13.8525,26
13.4338,5.9999,2030-01-01T00:01:02.000Z,66.3235,26.3153,27
1.4509,9.1657,2030-01-01T00:01:03.000Z,79.9691,34.8634,28
1.4652,4.2631,2030-01-01T00:01:04.000Z,65.304,32.6641,29
17.6173,17.5854,2030-01-01T00:01:05.000Z,67.3905,5.5211,30
16.6749,14.0708,2030-01-01T00:01:06.000Z,72.2336,34.5532,31
13.0795,0.1565,2030-01-01T00:01:07.000Z,76.3421,10.4783,32
13.2678,18.7786,2030-01-01T00:01:08.000Z,62.6858,4.04,33
2.1407,11.0645,2030-01-01T00:01:09.000Z,65.447,21.169,34
14.3522,4.0719,2030-01-01T00:01:10.000Z,72.6848,9.2394,35
9.7706,18.1067,2030-01-01T00:01:11.000Z,76.9221,3.2304,36
8.4715,5.5336,2030-01-01T00:01:12.000Z,60.0709,26.9892,1
12.7423,5.2391,2030-01-01T00:01:13.000Z,74.8246,19.3088,2
8.5537,0.1934,2030-01-01T00:01:14.000Z,61.5049,30.9087,3
18.0786,10.9118,2030-01-01T00:01:15.000Z,76.6919,20.3878,4
2.9619,2.5489,2030-01-01T00:01:16.000Z,66.1652,31.4644,5
15.9224,17.2141,2030-01-01T00:01:17.000Z,77.9785,7.3527,6
4.9906,2.0559,2030-01-01T00:01:18.000Z,75.6023,30.9447,7
8.1275,12.4132,2030-01-01T00:01:19.000Z,63.0911,32.5458,8
17.2921,19.5241,2030-01-01T00:01:20.000Z,76.2154,30.8496,9
0.4957,14.7313,2030-01-01T00:01:21.000Z,66.6437,32.5786,10
16.0447,17.2813,2030-01-01T00:01:22.000Z,76.215,9.3382,11
15.7475,2.1619,2030-01-01T00:01:23.000Z,77.4433,30.0508,12
4.4487,16.3317,2030-01-01T00:01:24.000Z,69.2061,10.6817,13
15.9069,4.5519,2030-01-01T00:01:25.000Z,60.4733,6.7595,14
6.5652,17.2871,2030-01-01T00:01:26.000Z,79.3378,9.7694,15
12.8296,7.9936,2030-01-01T00:01:27.000Z,79.623,18.7676,16
18.7847,2.3068,2030-01-01T00:01:28.000Z,79.408,6.2499,17
19.2507,5.3093,2030-01-01T00:01:29.000Z,62.1681,15.2097,18
14.5709,6.2735,2030-01-01T00:01:30.000Z,72.1242,17.8998,19
7.7039,11.5318,2030-01-01T00:01:31.000Z,65.0945,24.8075,20
0.0338,18.5115,2030-01-01T00:01:32.000Z,70.769,25.18,21
14.839,13.4126,2030-01-01T00:01:33.000Z,67.2844,2.4491,22
13.2848,6.604,2030-01-01T00:01:34.000Z,66.2783,29.6805,23
14.3951,6.0064,2030-01-01T00:01:35.000Z,66.1857,14.2938,24
8.048,5.9131,2030-01-01T00:01:36.000Z,62.5458,14.7156,25
18.8073,13.5464,2030-01-01T00:01:37.000Z,78.0561,21.543,26
6.019,10.9587,2030-01-01T00:01:38.000Z,60.0081,10.042,27
8.5978,11.5997,2030-01-01T00:01:39.000Z,73.0941,16.2746,28
